[2025-01-15 20:42:31] INFO django.utils.autoreload Watching for file changes with StatReloader
[2025-01-15 21:11:04] INFO django.utils.autoreload Watching for file changes with StatReloader
[2025-01-19 22:55:36] INFO django.server "POST /graphql/ HTTP/1.1" 200 1117
[2025-01-19 22:55:37] INFO django.server "POST /graphql/ HTTP/1.1" 200 634
[2025-01-19 22:55:49] INFO django.server "POST /graphql/ HTTP/1.1" 200 654
[2025-01-19 22:55:57] INFO django.server "POST /graphql/ HTTP/1.1" 200 654
[2025-01-19 22:57:13] INFO django.server "POST /graphql/ HTTP/1.1" 200 23
[2025-01-19 22:57:14] INFO django.server "POST /graphql/ HTTP/1.1" 200 23
[2025-01-19 22:57:14] INFO django.server "POST /graphql/ HTTP/1.1" 200 23
[2025-01-19 22:57:38] INFO django.server "POST /graphql/ HTTP/1.1" 200 82
[2025-01-19 22:57:39] INFO django.server "POST /graphql/ HTTP/1.1" 200 39
[2025-01-19 22:57:39] INFO django.server "POST /graphql/ HTTP/1.1" 200 72
[2025-01-19 22:59:29] INFO django.server "POST /graphql/ HTTP/1.1" 200 72
[2025-01-19 22:59:29] INFO django.server "POST /graphql/ HTTP/1.1" 200 39
[2025-01-19 22:59:32] INFO django.server "POST /graphql/ HTTP/1.1" 200 1117
[2025-01-19 22:59:34] INFO django.server "POST /graphql/ HTTP/1.1" 200 654
[2025-01-19 23:03:35] INFO django.server "POST /graphql/ HTTP/1.1" 200 654
[2025-01-19 23:53:02] INFO django.utils.autoreload Watching for file changes with StatReloader
[2025-01-19 23:53:06] INFO django.server "OPTIONS /graphql/ HTTP/1.1" 200 0
[2025-01-19 23:53:06] INFO django.server "POST /graphql/ HTTP/1.1" 200 1117
[2025-01-19 23:53:10] INFO django.server "POST /graphql/ HTTP/1.1" 200 654
